name,state,address,phone,lat,lon,photo,DaysHours,GOTVEvents,Notes
Bangor,ME,"6 State St., Bangor, ME 04401 (Suite 314)",(207) 227-0196,44.802292,-68.770071,http://i.imgur.com/HmKi1PW.png,,,
Lewiston,ME,"110 Lisbon St., Lewiston, ME 04240",(207) 650-9025,44.096876,-70.21732,http://i.imgur.com/Ldk9qxC.png,,,
Portland,ME,"465 Congress St., Portland, ME 04101",(207) 956-3979,43.657448,-70.259479,http://i.imgur.com/4QVKdfj.png,,,
Ann Arbor,MI,"4072 Packard Rd., Ann Arbor, MI 48108",-,42.24546,-83.679144,http://i.imgur.com/fkFMlYh.png,"Friday - Monday (3/4 - 3/7): 9am - 9pm
Tuesday (3/8 ELECTION DAY): 8am - 8pm",,
Detroit,MI,"7500 Oakland St., Detroit MI 48211",(201) 388-9887,42.375522,-83.065255,http://i.imgur.com/JsXJSjX.png,"Friday - Monday (3/4 - 3/7): 9am - 9pm
Tuesday (3/8 ELECTION DAY): 8am - 8pm",,
Kalamazoo,MI,"4038 N Westnedge Ave., Kalamazoo, MI 49094",(603) 998-4415,42.331313,-85.588239,http://i.imgur.com/iNNRnAE.png,"Friday - Monday (3/4 - 3/7): 9am - 9pm
Tuesday (3/8 ELECTION DAY): 8am - 8pm",,
Lincoln,NE,"211 N. 14th St., Lincoln, NE 68508",(480) 239-3889,40.814956,-96.701454,http://i.imgur.com/y1Gblem.png,Thursday - Saturday (3/3 - 3/5): 10am - 10pm,,
Omaha,NE,"6004 Pine St., Omaha, NE 68106",(402) 880-4076,41.244322,-96.005219,http://i.imgur.com/SassxOP.png,Thursday - Saturday (3/3 - 3/5): 10am - 10pm,,
